student_id,report_date,behavior_type,behavior,description,reported_by,severity
277,2025-09-11,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
277,2025-11-29,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Low
601,2025-10-13,Positive,Helpful to Peers,Assists other students,HOD,Positive
312,2025-11-04,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
645,2025-11-09,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
645,2025-09-17,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
645,2025-09-20,Negative,Irregular Attendance,Missing classes without notice,HOD,High
14,2025-10-27,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
14,2025-11-15,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
14,2025-11-24,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
757,2025-10-01,Negative,Late to Class,Frequently arrives late,HOD,High
823,2025-09-19,Positive,Good Team Player,Works well in groups,HOD,Positive
593,2025-10-18,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
472,2025-09-18,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
472,2025-09-03,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
472,2025-11-05,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
308,2025-11-20,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
270,2025-09-25,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Low
270,2025-10-29,Positive,Helpful to Peers,Assists other students,HOD,Positive
985,2025-09-26,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Medium
985,2025-10-07,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
452,2025-09-09,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
903,2025-09-18,Negative,Distracted in Class,Not paying attention,HOD,Medium
903,2025-10-09,Negative,Late to Class,Frequently arrives late,HOD,Medium
903,2025-09-16,Negative,Distracted in Class,Not paying attention,HOD,High
792,2025-11-24,Negative,Distracted in Class,Not paying attention,HOD,Medium
792,2025-09-20,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
792,2025-11-15,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
461,2025-11-20,Positive,Good Team Player,Works well in groups,HOD,Positive
284,2025-11-01,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
284,2025-09-15,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,High
284,2025-11-22,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
900,2025-10-23,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
900,2025-10-22,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Medium
364,2025-10-10,Negative,Late to Class,Frequently arrives late,Prof. Reddy,Medium
364,2025-11-20,Negative,Late to Class,Frequently arrives late,HOD,Medium
608,2025-11-21,Negative,Distracted in Class,Not paying attention,HOD,High
608,2025-11-22,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
105,2025-11-06,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
841,2025-09-10,Negative,Late to Class,Frequently arrives late,HOD,High
48,2025-10-06,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
930,2025-10-29,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
930,2025-11-26,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
930,2025-09-25,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
571,2025-10-24,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
571,2025-10-09,Negative,Distracted in Class,Not paying attention,Prof. Reddy,High
571,2025-11-21,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
433,2025-10-22,Positive,Good Team Player,Works well in groups,HOD,Positive
433,2025-09-29,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
433,2025-10-16,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
809,2025-10-28,Positive,Punctual,Always on time for classes,HOD,Positive
809,2025-09-20,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
809,2025-11-11,Positive,Punctual,Always on time for classes,HOD,Positive
949,2025-10-10,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
286,2025-10-19,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
963,2025-09-07,Positive,Punctual,Always on time for classes,HOD,Positive
963,2025-09-23,Negative,Late to Class,Frequently arrives late,Prof. Reddy,Low
963,2025-11-19,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
56,2025-11-09,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
498,2025-09-13,Negative,Late to Class,Frequently arrives late,Prof. Reddy,Low
498,2025-11-10,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
498,2025-11-23,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Medium
858,2025-11-26,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
641,2025-09-29,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Medium
66,2025-10-28,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
66,2025-10-10,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
595,2025-11-21,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Medium
53,2025-11-09,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Medium
53,2025-11-23,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
952,2025-10-09,Negative,Distracted in Class,Not paying attention,Prof. Sharma,High
467,2025-09-02,Negative,Distracted in Class,Not paying attention,Prof. Mehta,High
467,2025-10-24,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
467,2025-10-14,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
508,2025-09-11,Negative,Late to Class,Frequently arrives late,Prof. Reddy,Low
508,2025-10-13,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
504,2025-11-30,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
363,2025-11-28,Positive,Helpful to Peers,Assists other students,HOD,Positive
494,2025-09-16,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
494,2025-09-11,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
494,2025-11-02,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
707,2025-10-27,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
707,2025-10-10,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
707,2025-11-08,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
153,2025-09-13,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Low
515,2025-10-14,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
779,2025-10-04,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
295,2025-10-19,Negative,Distracted in Class,Not paying attention,HOD,Low
295,2025-09-26,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
295,2025-10-08,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Low
650,2025-09-02,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
305,2025-09-30,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
305,2025-09-27,Negative,Late to Class,Frequently arrives late,HOD,Low
322,2025-10-06,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
322,2025-10-18,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
496,2025-11-21,Positive,Good Team Player,Works well in groups,HOD,Positive
496,2025-09-06,Positive,Helpful to Peers,Assists other students,HOD,Positive
61,2025-11-21,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
61,2025-09-05,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
61,2025-11-09,Negative,Late to Class,Frequently arrives late,Prof. Reddy,Low
621,2025-11-03,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
621,2025-11-17,Negative,Late to Class,Frequently arrives late,Prof. Reddy,High
621,2025-09-24,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
694,2025-09-19,Negative,Late to Class,Frequently arrives late,Prof. Mehta,High
644,2025-09-07,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
644,2025-09-27,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,High
371,2025-09-05,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
371,2025-09-26,Negative,Distracted in Class,Not paying attention,Prof. Reddy,High
371,2025-11-19,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
846,2025-09-26,Positive,Good Team Player,Works well in groups,HOD,Positive
394,2025-10-28,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Low
394,2025-10-12,Negative,Distracted in Class,Not paying attention,Prof. Mehta,High
906,2025-11-23,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
906,2025-11-21,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
906,2025-11-02,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
819,2025-11-28,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Medium
269,2025-11-22,Negative,Late to Class,Frequently arrives late,HOD,Low
269,2025-09-05,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
636,2025-11-11,Negative,Distracted in Class,Not paying attention,HOD,High
636,2025-10-20,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
636,2025-09-27,Positive,Punctual,Always on time for classes,HOD,Positive
413,2025-09-22,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
413,2025-09-14,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
37,2025-10-14,Negative,Late to Class,Frequently arrives late,Prof. Mehta,High
184,2025-10-04,Positive,Helpful to Peers,Assists other students,HOD,Positive
184,2025-09-04,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
112,2025-10-30,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
112,2025-11-13,Positive,Punctual,Always on time for classes,HOD,Positive
661,2025-09-14,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
93,2025-09-12,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
93,2025-10-11,Positive,Good Team Player,Works well in groups,HOD,Positive
980,2025-10-20,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
980,2025-09-04,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Low
980,2025-09-12,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
852,2025-09-19,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Medium
842,2025-10-20,Positive,Punctual,Always on time for classes,HOD,Positive
842,2025-10-24,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
979,2025-11-15,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
979,2025-09-15,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
291,2025-10-25,Positive,Helpful to Peers,Assists other students,HOD,Positive
291,2025-10-29,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
87,2025-11-01,Positive,Punctual,Always on time for classes,HOD,Positive
266,2025-09-18,Negative,Late to Class,Frequently arrives late,HOD,High
148,2025-10-30,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
148,2025-10-13,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Low
148,2025-11-24,Negative,Irregular Attendance,Missing classes without notice,HOD,Medium
341,2025-10-19,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Low
380,2025-10-10,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Low
380,2025-10-24,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
380,2025-11-08,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Medium
329,2025-11-21,Positive,Punctual,Always on time for classes,HOD,Positive
329,2025-09-22,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Medium
329,2025-11-15,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
708,2025-09-02,Negative,Late to Class,Frequently arrives late,Prof. Sharma,High
708,2025-09-21,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
708,2025-09-18,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
258,2025-10-14,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
258,2025-11-03,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
292,2025-11-14,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Medium
292,2025-11-10,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Medium
292,2025-10-24,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
265,2025-09-27,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
265,2025-11-05,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Medium
265,2025-11-20,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Low
296,2025-09-14,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Medium
296,2025-09-11,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
296,2025-10-17,Negative,Distracted in Class,Not paying attention,Prof. Sharma,High
622,2025-10-30,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
622,2025-11-26,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
696,2025-10-25,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
696,2025-10-17,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
353,2025-10-14,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,High
353,2025-09-28,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
353,2025-09-10,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Medium
939,2025-10-24,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,High
939,2025-09-13,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
939,2025-11-19,Negative,Distracted in Class,Not paying attention,Prof. Reddy,High
196,2025-09-02,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Medium
847,2025-11-30,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
631,2025-09-21,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
631,2025-11-29,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Medium
631,2025-11-20,Positive,Good Team Player,Works well in groups,HOD,Positive
18,2025-11-23,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Medium
406,2025-11-29,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
475,2025-09-26,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
33,2025-11-13,Positive,Punctual,Always on time for classes,HOD,Positive
33,2025-10-18,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
629,2025-11-30,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
629,2025-10-25,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,High
589,2025-10-11,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
720,2025-09-28,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
389,2025-10-10,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Low
389,2025-09-24,Positive,Helpful to Peers,Assists other students,HOD,Positive
389,2025-11-01,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Low
850,2025-11-20,Negative,Distracted in Class,Not paying attention,HOD,Low
366,2025-10-12,Negative,Irregular Attendance,Missing classes without notice,HOD,Medium
366,2025-11-16,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
366,2025-11-29,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Medium
142,2025-10-11,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
142,2025-09-19,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
142,2025-11-28,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
303,2025-11-20,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
303,2025-10-18,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Medium
177,2025-09-30,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
177,2025-10-10,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
951,2025-10-07,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
396,2025-11-09,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
396,2025-09-21,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,High
716,2025-11-23,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Medium
716,2025-09-15,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
716,2025-11-11,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Low
682,2025-11-05,Negative,Late to Class,Frequently arrives late,Prof. Mehta,High
157,2025-11-01,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
157,2025-11-26,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
157,2025-10-30,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
188,2025-09-20,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
188,2025-11-07,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Low
714,2025-09-23,Negative,Late to Class,Frequently arrives late,HOD,Low
714,2025-09-30,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
714,2025-09-06,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
30,2025-11-23,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
926,2025-10-11,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
926,2025-09-17,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
534,2025-10-29,Positive,Helpful to Peers,Assists other students,HOD,Positive
687,2025-09-20,Positive,Helpful to Peers,Assists other students,HOD,Positive
687,2025-10-11,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
642,2025-11-21,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Low
315,2025-09-24,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Low
158,2025-10-29,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
158,2025-09-05,Positive,Helpful to Peers,Assists other students,HOD,Positive
776,2025-10-04,Positive,Good Team Player,Works well in groups,HOD,Positive
652,2025-10-11,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
652,2025-09-28,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
170,2025-09-07,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
170,2025-10-26,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
244,2025-10-31,Negative,Distracted in Class,Not paying attention,Prof. Mehta,Medium
244,2025-11-09,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
624,2025-10-10,Negative,Late to Class,Frequently arrives late,Prof. Reddy,High
624,2025-10-11,Negative,Distracted in Class,Not paying attention,HOD,High
624,2025-09-10,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
386,2025-11-06,Negative,Distracted in Class,Not paying attention,HOD,Low
651,2025-10-17,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
651,2025-09-14,Positive,Helpful to Peers,Assists other students,HOD,Positive
651,2025-11-30,Negative,Distracted in Class,Not paying attention,HOD,Medium
226,2025-10-03,Negative,Late to Class,Frequently arrives late,Prof. Reddy,Low
226,2025-09-03,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
602,2025-10-04,Negative,Late to Class,Frequently arrives late,HOD,High
658,2025-09-21,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Medium
416,2025-09-02,Negative,Late to Class,Frequently arrives late,HOD,High
416,2025-10-24,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
416,2025-09-05,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
917,2025-10-14,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
917,2025-11-07,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
917,2025-10-23,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
455,2025-09-24,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
455,2025-10-04,Negative,Late to Class,Frequently arrives late,HOD,Medium
455,2025-10-27,Positive,Good Team Player,Works well in groups,HOD,Positive
168,2025-09-15,Negative,Late to Class,Frequently arrives late,HOD,Low
355,2025-09-30,Negative,Late to Class,Frequently arrives late,Prof. Sharma,High
328,2025-11-16,Negative,Distracted in Class,Not paying attention,Prof. Sharma,High
328,2025-09-02,Negative,Late to Class,Frequently arrives late,HOD,Medium
328,2025-09-20,Negative,Irregular Attendance,Missing classes without notice,Prof. Reddy,Low
513,2025-11-14,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Medium
513,2025-11-21,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Medium
513,2025-11-03,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
637,2025-11-26,Positive,Helpful to Peers,Assists other students,HOD,Positive
637,2025-11-07,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
637,2025-11-05,Positive,Helpful to Peers,Assists other students,HOD,Positive
215,2025-11-25,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
215,2025-11-26,Positive,Helpful to Peers,Assists other students,Prof. Reddy,Positive
215,2025-10-19,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Low
460,2025-09-29,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
460,2025-09-09,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
327,2025-11-13,Positive,Respectful Behavior,Shows respect to faculty and peers,HOD,Positive
327,2025-10-05,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,Low
327,2025-09-03,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
80,2025-10-15,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Low
80,2025-09-02,Negative,Late to Class,Frequently arrives late,Prof. Reddy,High
680,2025-10-23,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
680,2025-09-09,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Low
680,2025-09-11,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
605,2025-09-13,Negative,Distracted in Class,Not paying attention,HOD,Medium
772,2025-09-06,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
937,2025-10-04,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
937,2025-11-14,Negative,Irregular Attendance,Missing classes without notice,HOD,Low
685,2025-11-06,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
973,2025-10-27,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
973,2025-11-16,Positive,Excellent Participation,Always participates actively in class,Prof. Mehta,Positive
635,2025-11-15,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
635,2025-11-29,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
844,2025-10-19,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
844,2025-10-06,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
706,2025-10-30,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
706,2025-11-30,Positive,Punctual,Always on time for classes,Prof. Reddy,Positive
643,2025-11-28,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Medium
401,2025-09-15,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
401,2025-09-30,Negative,Late to Class,Frequently arrives late,HOD,Medium
340,2025-11-24,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
340,2025-11-29,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
340,2025-10-24,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
