student_id,activity_name,activity_category,registration_date,role,activity_level,hours_per_week,total_events_participated,achievement,status,faculty_coordinator
27,Student Council,Other,2025-08-05,Member,Medium,4,2,,Active,Prof. Gupta
27,Literary Club,Cultural,2025-08-29,Member,Medium,5,3,,Active,Prof. Sharma
30,Cybersecurity Club,Technical,2025-08-19,President/Head,Very High,14,12,,Active,Prof. Reddy
31,NCC (National Cadet Corps),Social,2025-08-07,Active Member,High,9,9,,Active,Prof. Sharma
32,NSS (National Service Scheme),Social,2025-08-15,Active Member,Medium,6,4,,Active,Prof. Reddy
33,Robotics Club,Technical,2025-08-26,Member,Medium,4,2,Winner - Intra College Competition,Active,Prof. Sharma
33,College Magazine,Other,2025-08-04,Member,Medium,4,3,,Active,Prof. Sharma
33,Research Club,Academic,2025-08-08,Active Member,Medium,3,2,Winner - Intra College Competition,Inactive,Prof. Sharma
36,Research Club,Academic,2025-08-02,Member,Medium,3,5,,Active,Prof. Sharma
36,Basketball Team,Sports,2025-08-18,Member,Low,1,0,,Inactive,Prof. Sharma
39,Data Science Club,Technical,2025-08-04,Member,Low,1,1,,Active,Prof. Reddy
39,Mathematics Club,Academic,2025-08-11,Member,Low,3,1,,Active,Prof. Mehta
39,Dance Club,Cultural,2025-08-26,President/Head,Very High,15,17,,Active,Prof. Sharma
41,Hackathon Team,Technical,2025-08-17,Core Team,High,7,8,,Active,Prof. Gupta
42,Football Team,Sports,2025-08-06,Active Member,High,10,5,,Active,Prof. Reddy
43,Fine Arts Club,Cultural,2025-08-18,Member,Low,3,2,Best Performer Award,Active,Prof. Mehta
44,Badminton Club,Sports,2025-08-14,Member,Low,1,1,,Active,Prof. Gupta
44,Yoga Club,Other,2025-08-14,Member,Medium,3,3,,Active,Prof. Reddy
45,Environmental Club,Social,2025-08-16,Core Team,High,6,7,,Active,Prof. Reddy
46,Dance Club,Cultural,2025-08-29,Member,High,8,8,,Active,Prof. Sharma
46,AI/ML Club,Technical,2025-08-16,Member,High,10,6,,Active,Prof. Mehta
49,Data Science Club,Technical,2025-08-07,Member,Low,3,1,Winner - Intra College Competition,Active,Prof. Mehta
50,IoT Club,Technical,2025-08-25,Member,Medium,6,5,,Active,Prof. Reddy
51,Literary Club,Cultural,2025-08-16,Member,High,9,6,,Inactive,Prof. Gupta
51,Football Team,Sports,2025-08-31,Member,Medium,5,3,Winner - Inter College Competition,Active,Prof. Sharma
53,Entrepreneurship Cell,Academic,2025-08-31,Member,Medium,5,3,Participation Certificate,Active,Prof. Mehta
53,Dance Club,Cultural,2025-08-12,Member,Medium,6,3,,Active,Prof. Reddy
53,NCC (National Cadet Corps),Social,2025-08-19,Active Member,Medium,6,3,,Active,Prof. Gupta
54,Blood Donation Team,Social,2025-08-28,Active Member,High,6,7,,Active,Prof. Gupta
56,College Magazine,Other,2025-08-14,Member,High,7,9,,Active,Prof. Mehta
56,Mathematics Club,Academic,2025-08-18,Member,Medium,5,4,,Active,Prof. Mehta
57,Data Science Club,Technical,2025-08-18,Core Team,Very High,10,10,,Inactive,Prof. Reddy
57,Mathematics Club,Academic,2025-08-05,Active Member,Medium,3,2,Certificate of Excellence,Active,Prof. Mehta
57,Literary Club,Cultural,2025-08-16,Member,Low,2,0,,Active,Prof. Reddy
59,Table Tennis Club,Sports,2025-08-30,Active Member,Medium,4,4,,Active,Prof. Sharma
61,NSS (National Service Scheme),Social,2025-08-15,Core Team,High,7,7,,Inactive,Prof. Gupta
61,Cybersecurity Club,Technical,2025-08-05,Coordinator,Very High,15,19,,Inactive,Prof. Reddy
63,Entrepreneurship Cell,Academic,2025-08-18,Active Member,Medium,5,2,,Active,Prof. Gupta
65,Web Development Club,Technical,2025-08-12,Member,Medium,6,3,,Active,Prof. Reddy
66,IoT Club,Technical,2025-08-05,Active Member,Medium,6,4,Participation Certificate,Active,Prof. Mehta
66,Badminton Club,Sports,2025-08-12,Member,Low,2,0,Best Performer Award,Active,Prof. Sharma
66,NSS (National Service Scheme),Social,2025-08-28,Core Team,High,10,6,,Active,Prof. Gupta
68,Paper Presentation Team,Academic,2025-08-21,Member,Medium,4,5,,Inactive,Prof. Mehta
68,Student Council,Other,2025-08-18,Member,Medium,5,5,,Inactive,Prof. Sharma
69,Environmental Club,Social,2025-08-04,Coordinator,Very High,13,10,,Active,Prof. Reddy
69,Yoga Club,Other,2025-08-28,Member,Medium,5,5,,Active,Prof. Sharma
70,Student Council,Other,2025-08-24,Member,Medium,6,2,Best Performer Award,Active,Prof. Sharma
70,Basketball Team,Sports,2025-08-30,Active Member,Medium,5,4,Best Performer Award,Active,Prof. Mehta
72,NSS (National Service Scheme),Social,2025-08-11,Core Team,Very High,15,13,,Inactive,Prof. Gupta
72,Robotics Club,Technical,2025-08-22,Member,High,7,7,,Active,Prof. Reddy
76,Table Tennis Club,Sports,2025-08-18,Member,Low,1,1,,Active,Prof. Gupta
77,Rotaract Club,Social,2025-08-10,Member,Low,3,1,,Active,Prof. Gupta
78,Music Club,Cultural,2025-08-10,Member,High,10,6,,Active,Prof. Gupta
78,Research Club,Academic,2025-08-24,Member,High,8,5,,Active,Prof. Gupta
79,Fitness Club,Other,2025-08-17,Active Member,Medium,6,4,,Active,Prof. Gupta
79,NSS (National Service Scheme),Social,2025-08-05,Member,High,6,8,,Active,Prof. Mehta
79,IoT Club,Technical,2025-08-25,Coordinator,Very High,10,19,,Inactive,Prof. Gupta
79,Dance Club,Cultural,2025-08-08,Core Team,Very High,12,14,,Active,Prof. Reddy
80,Placement Cell,Other,2025-08-04,Member,Low,2,1,Best Performer Award,Active,Prof. Sharma
80,Music Club,Cultural,2025-08-06,Member,High,7,10,,Active,Prof. Reddy
80,Red Cross,Social,2025-08-12,Member,Low,2,2,Certificate of Excellence,Active,Prof. Mehta
82,Film Making Club,Cultural,2025-08-25,Active Member,Medium,5,3,,Active,Prof. Mehta
84,Event Management Team,Other,2025-08-25,Core Team,High,9,10,,Active,Prof. Reddy
85,Table Tennis Club,Sports,2025-08-27,Active Member,Medium,4,3,,Active,Prof. Gupta
86,Dance Club,Cultural,2025-08-23,Active Member,High,7,10,,Active,Prof. Sharma
86,Red Cross,Social,2025-08-08,Member,Low,2,1,Winner - Inter College Competition,Active,Prof. Sharma
86,Chess Club,Sports,2025-08-05,Member,Medium,5,2,,Active,Prof. Mehta
87,Student Council,Other,2025-08-27,Member,High,10,10,,Active,Prof. Gupta
87,Hockey Team,Sports,2025-08-23,Core Team,High,6,5,Participation Certificate,Active,Prof. Sharma
87,Mathematics Club,Academic,2025-08-28,Member,Medium,4,3,,Active,Prof. Gupta
88,Fitness Club,Other,2025-08-29,Member,Low,2,1,,Active,Prof. Reddy
90,Data Science Club,Technical,2025-08-21,Member,Low,3,2,,Active,Prof. Mehta
90,Rotaract Club,Social,2025-08-11,Active Member,Medium,4,4,,Active,Prof. Sharma
91,Fine Arts Club,Cultural,2025-08-31,Member,Medium,6,5,,Active,Prof. Mehta
92,Fitness Club,Other,2025-08-24,President/Head,Very High,13,19,,Inactive,Prof. Sharma
92,Research Club,Academic,2025-08-25,Member,Medium,3,3,,Active,Prof. Reddy
94,Web Development Club,Technical,2025-08-03,Active Member,Medium,3,2,,Inactive,Prof. Sharma
97,Mathematics Club,Academic,2025-08-17,Member,Low,3,1,Winner - Intra College Competition,Active,Prof. Mehta
100,Environmental Club,Social,2025-08-03,Member,Low,2,1,,Active,Prof. Gupta
101,Table Tennis Club,Sports,2025-08-14,Member,High,6,6,,Active,Prof. Gupta
101,Robotics Club,Technical,2025-08-26,Member,Medium,6,2,,Active,Prof. Sharma
101,Music Club,Cultural,2025-08-22,Member,Medium,5,4,Winner - Intra College Competition,Active,Prof. Sharma
102,Blood Donation Team,Social,2025-08-24,Coordinator,Very High,12,18,,Active,Prof. Mehta
102,Cybersecurity Club,Technical,2025-08-17,Active Member,High,6,6,,Active,Prof. Gupta
103,Alumni Relations,Other,2025-08-05,Member,Low,2,2,,Inactive,Prof. Mehta
103,Cybersecurity Club,Technical,2025-08-10,Member,Medium,3,5,,Inactive,Prof. Mehta
105,Basketball Team,Sports,2025-08-02,Member,Low,3,1,,Active,Prof. Reddy
107,Fine Arts Club,Cultural,2025-08-13,Member,Medium,6,4,,Active,Prof. Mehta
108,Film Making Club,Cultural,2025-08-02,Member,Medium,4,5,,Active,Prof. Mehta
109,Kabaddi Team,Sports,2025-08-17,Member,Medium,3,3,,Active,Prof. Reddy
109,Yoga Club,Other,2025-08-21,Member,Low,1,2,,Active,Prof. Gupta
110,College Magazine,Other,2025-08-07,Core Team,Very High,13,18,,Active,Prof. Gupta
111,IoT Club,Technical,2025-08-21,Member,Medium,3,3,,Active,Prof. Sharma
112,IoT Club,Technical,2025-08-30,Member,Medium,3,2,,Active,Prof. Reddy
112,Debating Society,Cultural,2025-08-17,Core Team,High,6,8,,Active,Prof. Gupta
113,Mathematics Club,Academic,2025-08-30,Member,Low,2,0,,Active,Prof. Mehta
113,Student Council,Other,2025-08-13,Member,Low,1,0,Winner - Intra College Competition,Active,Prof. Mehta
113,IoT Club,Technical,2025-08-04,Member,High,8,6,,Active,Prof. Mehta
116,Student Council,Other,2025-08-03,Member,Medium,3,3,,Active,Prof. Gupta
116,Coding Club,Technical,2025-08-16,Core Team,Very High,12,19,,Active,Prof. Reddy
116,Paper Presentation Team,Academic,2025-08-13,Member,Low,2,2,,Active,Prof. Reddy
116,Red Cross,Social,2025-08-15,Active Member,Medium,4,5,Winner - Inter College Competition,Active,Prof. Reddy
117,Debating Society,Cultural,2025-08-29,Active Member,High,8,5,,Active,Prof. Sharma
117,Entrepreneurship Cell,Academic,2025-08-11,Member,Low,3,0,Best Performer Award,Active,Prof. Mehta
117,Fitness Club,Other,2025-08-17,Member,Low,1,0,,Active,Prof. Sharma
121,Rotaract Club,Social,2025-08-16,Member,Low,1,2,,Active,Prof. Reddy
122,Fine Arts Club,Cultural,2025-08-31,Member,Low,2,1,,Active,Prof. Mehta
123,Entrepreneurship Cell,Academic,2025-08-21,Member,Low,2,2,,Active,Prof. Gupta
123,Event Management Team,Other,2025-08-04,Member,Low,3,0,,Active,Prof. Sharma
123,Film Making Club,Cultural,2025-08-28,Active Member,High,7,6,,Active,Prof. Reddy
123,Basketball Team,Sports,2025-08-31,Member,Low,1,2,,Active,Prof. Mehta
125,Rotaract Club,Social,2025-08-04,Member,Medium,3,2,,Inactive,Prof. Reddy
125,Innovation Club,Academic,2025-08-20,Member,Low,2,0,,Inactive,Prof. Sharma
126,Rotaract Club,Social,2025-08-02,Active Member,High,10,9,Best Performer Award,Active,Prof. Gupta
126,Coding Club,Technical,2025-08-18,Core Team,Very High,15,16,,Active,Prof. Sharma
126,Paper Presentation Team,Academic,2025-08-08,Member,Medium,5,4,,Active,Prof. Gupta
126,Hockey Team,Sports,2025-08-17,Member,Low,1,1,Certificate of Excellence,Active,Prof. Reddy
127,Cricket Team,Sports,2025-08-29,Active Member,Medium,3,2,,Active,Prof. Reddy
127,Mathematics Club,Academic,2025-08-09,Member,Low,1,2,,Active,Prof. Gupta
128,Badminton Club,Sports,2025-08-25,Member,Low,2,1,,Active,Prof. Mehta
132,Red Cross,Social,2025-08-23,Member,Medium,3,2,,Active,Prof. Gupta
133,Red Cross,Social,2025-08-26,Member,Medium,3,4,Winner - Inter College Competition,Active,Prof. Sharma
134,Film Making Club,Cultural,2025-08-21,Member,High,10,7,,Active,Prof. Reddy
135,Coding Club,Technical,2025-08-03,Active Member,High,6,9,,Active,Prof. Gupta
136,Cybersecurity Club,Technical,2025-08-29,Member,Medium,6,4,,Active,Prof. Sharma
138,Paper Presentation Team,Academic,2025-08-29,Member,Low,2,0,Participation Certificate,Active,Prof. Reddy
138,Alumni Relations,Other,2025-08-09,Active Member,High,9,5,,Inactive,Prof. Mehta
138,Web Development Club,Technical,2025-08-26,Member,Low,2,1,,Inactive,Prof. Sharma
142,Student Council,Other,2025-08-17,Member,High,8,10,,Active,Prof. Mehta
143,AI/ML Club,Technical,2025-08-29,Active Member,Medium,6,3,,Active,Prof. Reddy
144,Athletics Team,Sports,2025-08-11,Member,Low,1,1,,Active,Prof. Sharma
144,Quiz Club,Academic,2025-08-30,Active Member,Medium,3,4,,Inactive,Prof. Sharma
146,Photography Club,Cultural,2025-08-25,Active Member,Medium,6,3,,Inactive,Prof. Reddy
146,Cricket Team,Sports,2025-08-08,Member,Low,3,1,Best Performer Award,Active,Prof. Sharma
146,Blood Donation Team,Social,2025-08-08,Member,High,6,8,,Active,Prof. Sharma
146,Mathematics Club,Academic,2025-08-25,Member,High,6,6,,Inactive,Prof. Gupta
147,Table Tennis Club,Sports,2025-08-14,Active Member,Medium,3,5,Winner - Intra College Competition,Active,Prof. Mehta
148,AI/ML Club,Technical,2025-08-26,Member,High,7,7,,Active,Prof. Mehta
148,Red Cross,Social,2025-08-19,Member,Low,3,2,,Active,Prof. Sharma
150,Mathematics Club,Academic,2025-08-08,Active Member,High,7,5,,Active,Prof. Sharma
150,Data Science Club,Technical,2025-08-15,Member,Low,2,2,,Inactive,Prof. Reddy
151,IoT Club,Technical,2025-08-31,Active Member,High,8,10,Winner - Inter College Competition,Active,Prof. Reddy
151,Event Management Team,Other,2025-08-08,Active Member,High,10,6,,Inactive,Prof. Reddy
151,Athletics Team,Sports,2025-08-18,Member,Low,3,1,,Active,Prof. Mehta
152,Environmental Club,Social,2025-08-30,Member,Medium,4,5,,Inactive,Prof. Reddy
153,Event Management Team,Other,2025-08-02,Member,Medium,4,5,,Active,Prof. Reddy
154,Basketball Team,Sports,2025-08-18,Member,Low,1,0,,Active,Prof. Mehta
156,Red Cross,Social,2025-08-21,Member,High,7,5,,Active,Prof. Gupta
158,Data Science Club,Technical,2025-08-08,Coordinator,Very High,10,15,,Active,Prof. Reddy
158,Film Making Club,Cultural,2025-08-26,Active Member,Medium,3,5,Certificate of Excellence,Active,Prof. Gupta
159,Blood Donation Team,Social,2025-08-26,Core Team,Very High,15,14,,Active,Prof. Reddy
161,Paper Presentation Team,Academic,2025-08-06,Active Member,Medium,4,3,,Inactive,Prof. Gupta
161,Red Cross,Social,2025-08-14,Active Member,Medium,5,3,,Active,Prof. Gupta
162,IoT Club,Technical,2025-08-10,Member,Low,1,2,,Active,Prof. Sharma
162,Literary Club,Cultural,2025-08-14,Member,High,9,5,,Active,Prof. Mehta
163,Literary Club,Cultural,2025-08-13,Active Member,High,9,5,,Active,Prof. Mehta
164,Hockey Team,Sports,2025-08-12,Member,Low,3,2,,Active,Prof. Sharma
165,Quiz Club,Academic,2025-08-30,Member,Medium,3,2,,Active,Prof. Gupta
165,Event Management Team,Other,2025-08-22,Active Member,Medium,6,3,,Active,Prof. Mehta
165,NCC (National Cadet Corps),Social,2025-08-13,Member,Medium,6,2,,Active,Prof. Mehta
166,Environmental Club,Social,2025-08-04,Member,Low,2,2,,Active,Prof. Reddy
166,Chess Club,Sports,2025-08-13,Active Member,Medium,6,3,,Active,Prof. Mehta
167,Environmental Club,Social,2025-08-09,Member,Low,1,0,,Active,Prof. Reddy
167,Mathematics Club,Academic,2025-08-09,Coordinator,Very High,15,18,Winner - Inter College Competition,Active,Prof. Reddy
169,Entrepreneurship Cell,Academic,2025-08-20,Active Member,High,10,10,,Active,Prof. Mehta
169,Environmental Club,Social,2025-08-08,Member,Medium,4,5,Winner - Inter College Competition,Active,Prof. Gupta
173,College Magazine,Other,2025-08-16,Member,Low,1,0,,Active,Prof. Sharma
175,Athletics Team,Sports,2025-08-14,Active Member,High,9,5,,Active,Prof. Reddy
175,Student Council,Other,2025-08-18,President/Head,Very High,14,18,,Active,Prof. Reddy
176,Rotaract Club,Social,2025-08-10,Member,Medium,5,3,Winner - Inter College Competition,Active,Prof. Sharma
178,Innovation Club,Academic,2025-08-23,Active Member,Medium,6,5,,Active,Prof. Reddy
178,Photography Club,Cultural,2025-08-29,Member,Medium,5,2,,Active,Prof. Sharma
178,Student Council,Other,2025-08-05,Member,High,7,10,,Active,Prof. Sharma
179,Coding Club,Technical,2025-08-13,Member,High,6,6,,Active,Prof. Sharma
180,College Magazine,Other,2025-08-06,Active Member,High,9,10,Winner - Intra College Competition,Active,Prof. Sharma
180,Drama Club,Cultural,2025-08-28,Active Member,High,10,7,,Active,Prof. Sharma
180,Badminton Club,Sports,2025-08-04,Active Member,High,7,5,,Inactive,Prof. Sharma
180,NCC (National Cadet Corps),Social,2025-08-04,Member,Medium,3,3,,Active,Prof. Gupta
181,Film Making Club,Cultural,2025-08-29,Member,Medium,4,4,,Inactive,Prof. Gupta
181,Cricket Team,Sports,2025-08-22,Member,Medium,4,5,,Active,Prof. Sharma
181,Quiz Club,Academic,2025-08-17,Member,Medium,5,4,,Active,Prof. Mehta
183,Football Team,Sports,2025-08-09,Core Team,High,9,6,,Inactive,Prof. Reddy
183,Data Science Club,Technical,2025-08-17,Member,Low,2,0,,Active,Prof. Gupta
184,Dance Club,Cultural,2025-08-03,Member,Low,1,1,,Inactive,Prof. Gupta
184,Kabaddi Team,Sports,2025-08-14,Core Team,High,9,5,,Inactive,Prof. Sharma
184,Web Development Club,Technical,2025-08-20,Member,Low,1,2,Certificate of Excellence,Active,Prof. Sharma
185,NSS (National Service Scheme),Social,2025-08-02,Active Member,High,6,6,Participation Certificate,Active,Prof. Reddy
188,Alumni Relations,Other,2025-08-24,Member,Low,2,1,Winner - Inter College Competition,Active,Prof. Mehta
188,Blood Donation Team,Social,2025-08-20,Member,Medium,4,3,,Active,Prof. Sharma
188,Debating Society,Cultural,2025-08-28,Member,Medium,4,5,,Active,Prof. Sharma
189,Chess Club,Sports,2025-08-28,Member,High,7,8,,Inactive,Prof. Reddy
189,Rotaract Club,Social,2025-08-24,Active Member,Medium,4,5,,Active,Prof. Reddy
189,Event Management Team,Other,2025-08-02,Member,High,7,7,Winner - Intra College Competition,Active,Prof. Gupta
192,Football Team,Sports,2025-08-08,Member,Medium,3,2,,Active,Prof. Sharma
194,Research Club,Academic,2025-08-03,Member,Medium,3,3,,Active,Prof. Reddy
194,College Magazine,Other,2025-08-29,Active Member,Medium,6,2,,Inactive,Prof. Mehta
195,Mathematics Club,Academic,2025-08-11,Core Team,High,10,8,Participation Certificate,Active,Prof. Gupta
198,Cybersecurity Club,Technical,2025-08-13,Active Member,High,8,10,,Active,Prof. Reddy
198,Entrepreneurship Cell,Academic,2025-08-26,Member,Low,2,2,Winner - Inter College Competition,Active,Prof. Reddy
199,Yoga Club,Other,2025-08-13,Active Member,High,10,10,,Inactive,Prof. Gupta
199,Rotaract Club,Social,2025-08-26,Member,Low,1,2,,Active,Prof. Reddy
199,IoT Club,Technical,2025-08-20,Member,Low,2,0,,Active,Prof. Gupta
200,Alumni Relations,Other,2025-08-15,Active Member,Medium,5,3,,Active,Prof. Sharma
202,NCC (National Cadet Corps),Social,2025-08-03,Member,Medium,3,5,,Active,Prof. Mehta
202,Literary Club,Cultural,2025-08-14,Member,Low,2,2,Best Performer Award,Inactive,Prof. Sharma
209,Cricket Team,Sports,2025-08-29,Active Member,High,10,10,,Inactive,Prof. Mehta
210,Fine Arts Club,Cultural,2025-08-26,Active Member,Medium,4,5,,Active,Prof. Mehta
210,Event Management Team,Other,2025-08-29,Active Member,Medium,6,5,,Active,Prof. Reddy
210,Web Development Club,Technical,2025-08-11,Active Member,Medium,3,4,Best Performer Award,Active,Prof. Reddy
210,Chess Club,Sports,2025-08-21,Member,Medium,3,5,Winner - Intra College Competition,Inactive,Prof. Mehta
211,Environmental Club,Social,2025-08-26,Member,Low,3,1,,Active,Prof. Gupta
211,Cricket Team,Sports,2025-08-03,Member,High,8,7,,Active,Prof. Mehta
211,Innovation Club,Academic,2025-08-16,Coordinator,Very High,14,15,,Active,Prof. Gupta
212,Event Management Team,Other,2025-08-26,Member,Medium,5,3,,Active,Prof. Sharma
212,Environmental Club,Social,2025-08-03,Member,Medium,3,4,,Active,Prof. Mehta
213,Red Cross,Social,2025-08-21,Member,High,6,9,,Active,Prof. Sharma
213,Research Club,Academic,2025-08-15,Member,Medium,4,3,,Active,Prof. Gupta
213,Basketball Team,Sports,2025-08-09,Active Member,High,9,9,,Inactive,Prof. Sharma
214,Innovation Club,Academic,2025-08-18,Member,High,9,8,,Active,Prof. Reddy
214,Badminton Club,Sports,2025-08-17,Member,Medium,6,2,Best Performer Award,Inactive,Prof. Gupta
214,College Magazine,Other,2025-08-06,Member,Low,2,1,,Active,Prof. Gupta
215,NCC (National Cadet Corps),Social,2025-08-12,Active Member,Medium,4,4,,Active,Prof. Reddy
215,Basketball Team,Sports,2025-08-13,Member,Medium,5,5,,Active,Prof. Sharma
218,Debating Society,Cultural,2025-08-02,Active Member,Medium,5,5,,Active,Prof. Reddy
219,Football Team,Sports,2025-08-24,Member,Medium,6,3,,Inactive,Prof. Gupta
221,Placement Cell,Other,2025-08-08,Member,High,9,7,,Active,Prof. Sharma
221,AI/ML Club,Technical,2025-08-12,Active Member,Medium,3,2,Participation Certificate,Active,Prof. Gupta
223,Blood Donation Team,Social,2025-08-27,Member,High,7,6,Winner - Inter College Competition,Active,Prof. Mehta
223,Volleyball Team,Sports,2025-08-14,Member,Medium,4,5,,Inactive,Prof. Gupta
225,Hockey Team,Sports,2025-08-30,Member,Medium,6,5,Participation Certificate,Active,Prof. Gupta
226,College Magazine,Other,2025-08-24,Member,Low,2,1,,Active,Prof. Mehta
228,Alumni Relations,Other,2025-08-05,Member,High,8,10,,Active,Prof. Mehta
229,Web Development Club,Technical,2025-08-07,Active Member,Medium,6,3,,Active,Prof. Gupta
233,Quiz Club,Academic,2025-08-16,Member,Low,2,0,,Active,Prof. Reddy
235,Rotaract Club,Social,2025-08-30,Active Member,High,7,7,,Active,Prof. Sharma
236,Literary Club,Cultural,2025-08-22,Member,High,6,10,,Active,Prof. Mehta
236,Rotaract Club,Social,2025-08-25,Member,Medium,4,4,,Active,Prof. Mehta
239,Hockey Team,Sports,2025-08-27,Member,Low,1,2,,Active,Prof. Mehta
239,Alumni Relations,Other,2025-08-27,Member,High,8,10,Winner - Intra College Competition,Active,Prof. Sharma
239,NSS (National Service Scheme),Social,2025-08-12,Member,Medium,5,5,Certificate of Excellence,Active,Prof. Reddy
240,Film Making Club,Cultural,2025-08-11,Core Team,Very High,13,16,Certificate of Excellence,Active,Prof. Gupta
240,Environmental Club,Social,2025-08-07,Coordinator,Very High,13,20,,Active,Prof. Reddy
242,Paper Presentation Team,Academic,2025-08-16,Member,Medium,6,4,,Active,Prof. Mehta
242,Table Tennis Club,Sports,2025-08-12,Member,High,7,9,Winner - Intra College Competition,Inactive,Prof. Mehta
242,Placement Cell,Other,2025-08-15,Member,Medium,3,4,,Active,Prof. Reddy
243,Basketball Team,Sports,2025-08-23,Member,High,6,7,Winner - Inter College Competition,Active,Prof. Reddy
243,Blood Donation Team,Social,2025-08-09,Active Member,Medium,3,4,,Active,Prof. Mehta
243,Yoga Club,Other,2025-08-31,Member,Medium,3,3,,Active,Prof. Reddy
244,Fitness Club,Other,2025-08-10,Active Member,Medium,3,2,,Active,Prof. Reddy
244,Basketball Team,Sports,2025-08-24,Member,Low,2,1,,Inactive,Prof. Gupta
244,NSS (National Service Scheme),Social,2025-08-18,Member,Low,2,1,,Active,Prof. Sharma
245,Debating Society,Cultural,2025-08-24,President/Head,Very High,10,18,,Active,Prof. Sharma
246,Web Development Club,Technical,2025-08-24,Member,High,10,6,,Active,Prof. Gupta
247,Cybersecurity Club,Technical,2025-08-20,Active Member,High,10,6,,Active,Prof. Gupta
247,Literary Club,Cultural,2025-08-30,Member,Medium,6,3,,Active,Prof. Gupta
247,Student Council,Other,2025-08-25,Member,Low,1,1,Best Performer Award,Active,Prof. Mehta
249,Yoga Club,Other,2025-08-30,Active Member,High,6,5,,Active,Prof. Mehta
249,Data Science Club,Technical,2025-08-14,Coordinator,Very High,14,16,,Active,Prof. Sharma
249,Dance Club,Cultural,2025-08-02,Member,High,10,7,Winner - Inter College Competition,Active,Prof. Reddy
251,Cricket Team,Sports,2025-08-16,Coordinator,Very High,12,16,,Active,Prof. Gupta
251,NSS (National Service Scheme),Social,2025-08-22,Member,High,7,7,,Active,Prof. Mehta
251,Literary Club,Cultural,2025-08-19,Member,High,9,9,,Active,Prof. Gupta
